product_id,product_name,product_slug,old_thumbnail_id,old_thumbnail_title,old_score,new_thumbnail_id,new_thumbnail_title,new_score,second_score,margin,reasons
74687,L. A. Girl Pro Matte Foundation Nude GLM716,l-a-girl-pro-matte-foundation-nude-glm716-2,74674,438_LA20Girl20Brow20Pomade20Long-lasting20Gel20For.jpg,0.133,74678,0440_L20A20Girl20Pro20Matte20Foundation20Nude20GLM716.jpg,0.8,0.313,0.487,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74699,LmLTop 7 Pcs Travel Bottle Set (Sy760),lmltop-7-pcs-travel-bottle-set-sy760,74696,447_LMLTOP20Make20Bowl20Set.jpg,0.318,74700,0449_LmLTop20720Pcs20Travel20Bottle20Set20Sy760.jpg,0.775,0.318,0.457,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74705,LMLTOP Cotton Pad For All Skin Types 150pcs,lmltop-cotton-pad-for-all-skin-types-150pcs,74704,0451_LMLTOP20Cosmetic20Skin20Friendly20Soft20Cotton20Pads2080p.jpg,0.263,74706,0452_LMLTOP20Cotton20Pad20For20All20Skin20Types20150pcs.jpg,0.88,0.667,0.213,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74719,LAIKOU Matcha Sleeping Face Mask,laikou-matcha-sleeping-face-mask,74716,457_LAIKOU20Sakura20Mud20Mask205g.jpg,0.379,74720,0459_LAIKOU20Matcha20Sleeping20Face20Mask.jpg,0.767,0.575,0.192,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74737,Lavino Milk Brightening Face Wash 100ml,lavino-milk-brightening-face-wash-100ml,74736,0467_Lavino20Neem20Purifying20Face20Wash20With200520Salicylic.jpg,0.314,74738,0468_Lavino20Milk20Brightening20Face20Wash20100ml.jpg,0.865,0.314,0.551,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74877,Minimalist Niacinamide 5% Face Serum 30ml,minimalist-niacinamide-5-face-serum-30ml,74874,555_Minimalist20L-Ascorbic20Acid20820Lip20Treatme.jpg,0.189,74878,0557_Minimalist20Niacinamide20520Face20Serum2030ml.jpg,0.838,0.648,0.19,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74881,Minimalist Multi Peptides 10% Face Serum 30ml,minimalist-multi-peptides-10-face-serum-30ml,74878,0557_Minimalist20Niacinamide20520Face20Serum2030ml.jpg,0.486,74882,0559_Minimalist20Multi20Peptides201020Face20Serum2030ml.jpg,0.747,0.486,0.261,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74981,Oporajita Hair Booster Oil 200ml (exp;11-01-2026),oporajita-hair-booster-oil-200ml-exp11-01-2026,74980,0625_Oporajita20Bahera20Fine20Powder20100g.jpg,0.099,74982,0626_Oporajita20Hair20Booster20Oil20200ml20exp11-01-2026.jpg,0.749,0.194,0.555,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
74983,Out of Beauty AH Serum 30ml,out-of-beauty-ah-serum-30ml,74980,0625_Oporajita20Bahera20Fine20Powder20100g.jpg,0,74984,0627_Out20of20Beauty20AH20Serum2030ml.jpg,0.865,,0.865,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75032,Pond's Age Miracle Youthful Glow Night Cream 45g,ponds-age-miracle-youthful-glow-night-cream-45g,91598,PNDS-AMYGNC-50,0,75033,0653_Ponds20Age20Miracle20Youthful20Glow20Night20Cream2045g.jpg,0.833,0.573,0.26,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75052,Rajkonna White Glow Shower Gel 330ml,rajkonna-white-glow-shower-gel-330ml,75049,662_Rajkonna20Henna20Hair20Pack2050g.jpg,0.159,75053,0664_Rajkonna20White20Glow20Shower20Gel20330ml.jpg,0.865,0.338,0.527,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75056,Rajkonna All Purpose Toner 120ml,rajkonna-all-purpose-toner-120ml,75055,0665_Rajkonna20Brightening20Body20Lotion20Super20Moisture20Vi.jpg,0.153,75057,0666_Rajkonna20All20Purpose20Toner20120ml.jpg,0.865,0.31,0.555,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75058,Rajkonna Moisturizing Shower Gel 330ml,rajkonna-moisturizing-shower-gel-330ml,75057,0666_Rajkonna20All20Purpose20Toner20120ml.jpg,0.189,75059,0667_Rajkonna20Moisturizing20Shower20Gel20330ml.jpg,0.847,0.648,0.199,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
75060,Rajkonna Glow Booster Facial Wash 100ml,rajkonna-glow-booster-facial-wash-100ml,75057,0666_Rajkonna20All20Purpose20Toner20120ml.jpg,0.135,75061,0668_Rajkonna20Glow20Booster20Facial20Wash20100ml.jpg,0.88,0.613,0.267,nearby_attachment_strong_match|current_thumbnail_weak_or_duplicate|unique_candidate_with_margin
